#ZVView-data-copy:   6-Feb-2012 13:45:14
#=======================================
#
#name:   ENDF/B-VII.0: GD-155(N,G)GD-156
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  9789
#data...
#            X            Y
#          MeV        barns
    6.64583e-6       133.88
    6.65598e-6      126.736
    6.66613e-6       120.21
    6.67772e-6      113.421
    6.69078e-6      106.536
    6.70382e-6      100.347
    6.71687e-6      94.7684
    6.72993e-6      89.7258
    6.74298e-6      85.1567
    6.75602e-6      81.0076
    6.76907e-6      77.2325
    6.78357e-6      73.4287
    6.79952e-6      69.6665
    6.81547e-6      66.2955
    6.83143e-6      63.2716
    6.84738e-6      60.5569
    6.86333e-6      58.1194
    6.87927e-6      55.9314
     6.9032e-6      53.0663
    6.92146e-6      51.1804
    6.93972e-6      49.5286
    6.96407e-6      47.6576
    6.98842e-6      46.1329
    7.01277e-6      44.9272
    7.03711e-6      44.0209
    7.06146e-6      43.4009
    7.08581e-6      43.0606
    7.09938e-6       42.992
    7.11971e-6      43.0535
    7.14004e-6      43.3176
    7.16037e-6      43.7936
     7.1807e-6      44.4958
    7.20104e-6       45.443
    7.22137e-6      46.6596
     7.2417e-6      48.1765
    7.26203e-6      50.0326
    7.27767e-6      51.7215
    7.29331e-6      53.6672
    7.30895e-6      55.9027
    7.32459e-6      58.4678
    7.34023e-6      61.4106
    7.35587e-6      64.7898
     7.3676e-6      67.6532
    7.37933e-6      70.8385
    7.39263e-6       74.892
    7.40357e-6      78.6344
    7.41452e-6       82.795
    7.42547e-6      87.4329
    7.43642e-6      92.6182
    7.44737e-6      98.4351
    7.45831e-6      104.984
    7.46652e-6       110.45
    7.47474e-6      116.456
    7.48256e-6      122.744
    7.49038e-6      129.657
     7.4982e-6      137.279
    7.50602e-6      145.704
    7.51384e-6      155.043
    7.52166e-6      165.424
    7.52948e-6      176.997
     7.5373e-6      189.935
    7.54355e-6        201.4
    7.54981e-6      213.979
    7.55606e-6      227.799
    7.56232e-6      243.001
    7.56858e-6      259.736
    7.57483e-6      278.167
    7.58109e-6      298.469
    7.58734e-6      320.823
    7.59438e-6      348.656
    7.60142e-6      379.583
    7.60846e-6      413.852
     7.6155e-6      451.685
    7.62253e-6      493.255
    7.62879e-6       533.43
    7.63466e-6      573.866
    7.64052e-6      616.942
    7.64834e-6      678.284
    7.65616e-6      743.661
    7.66672e-6      837.007
    7.69072e-6      1056.58
    7.70034e-6       1139.5
    7.70996e-6      1214.32
    7.71809e-6      1268.64
    7.72419e-6      1302.71
    7.72936e-6      1326.45
    7.73561e-6      1348.43
     7.7413e-6      1361.53
    7.74643e-6      1367.48
    7.74944e-6      1368.34
    7.75475e-6       1365.1
    7.76189e-6      1351.32
    7.76814e-6      1330.65
    7.77409e-6      1304.04
    7.77972e-6      1273.09
    7.78566e-6      1234.98
    7.79504e-6      1165.28
    7.80443e-6      1086.75
    7.81764e-6      967.553
    7.83446e-6      813.541
    7.84228e-6      744.677
     7.8501e-6      679.053
    7.85792e-6      617.389
    7.86574e-6      560.153
    7.87219e-6      516.444
    7.87864e-6      475.954
    7.88509e-6      438.646
    7.89154e-6      404.426
    7.89799e-6      373.157
    7.90288e-6      351.331
    7.90836e-6      328.682
    7.91383e-6      307.816
     7.9193e-6       288.61
    7.92478e-6      270.942
    7.93025e-6      254.693
    7.93573e-6      239.749
     7.9412e-6          226
    7.94706e-6      212.479
    7.95332e-6      199.306
    7.95958e-6      187.295
    7.96583e-6      176.328
    7.97209e-6      166.298
    7.97834e-6      157.108
     7.9846e-6      148.673
    7.99086e-6      140.916
    7.99789e-6      132.915
    8.00571e-6      124.827
    8.01353e-6      117.486
    8.02135e-6      110.803
    8.02917e-6      104.702
    8.03699e-6      99.1187
    8.04481e-6      93.9951
    8.05263e-6      89.2821
    8.06163e-6      84.3143
    8.07179e-6      79.2134
    8.08196e-6      74.5923
    8.09212e-6      70.3918
    8.10229e-6       66.562
    8.11246e-6      63.0598
    8.12262e-6      59.8485
    8.13279e-6      56.8962
    8.14491e-6       53.677
    8.15899e-6      50.2994
    8.17306e-6      47.2597
